Date,Open,High,Close,Change,Change_Value_Percentage,Change_Percentage,Volume
2004-09-17T00:00:00,91,92,92,1,1.098901098901099,1.098901098901099,188100
2004-09-20T00:00:00,92,92.6,90.9,-1.1,-1.1956521739130435,-1.1956521739130435,69700
2004-09-21T00:00:00,90.9,91,90,-0.9,-0.9900990099009901,-0.9900990099009901,82900
2004-09-22T00:00:00,90,90.25,89.3,-0.7,-0.7777777777777778,-0.7777777777777778,113800
2004-09-23T00:00:00,89.3,90,89.7,0.4,0.4479283314669653,0.4479283314669653,218700
2004-09-24T00:00:00,89.7,90.5,90.5,0.8,0.8918617614269788,0.8918617614269788,189400
2004-09-27T00:00:00,90.5,92.2,91.5,1,1.1049723756906076,1.1049723756906076,382500
2004-09-28T00:00:00,91.5,91.75,91,-0.5,-0.546448087431694,-0.546448087431694,206900
2004-09-29T00:00:00,91,91.4,91.2,0.2,0.21978021978021978,0.21978021978021978,102300
2004-09-30T00:00:00,91.2,91.6,90.95,-0.25,-0.2741228070175438,-0.2741228070175438,128300
2004-10-01T00:00:00,90.95,91.2,91,0.05,0.054975261132490384,0.054975261132490384,146400
2004-10-04T00:00:00,91,91.5,91,0,0,0,72200
2004-10-05T00:00:00,91,91.25,90.45,-0.55,-0.6043956043956045,-0.6043956043956045,58400
2004-10-06T00:00:00,90.45,91.3,90.8,0.35,0.38695411829740184,0.38695411829740184,104900
2004-10-07T00:00:00,90.8,91.45,90.5,-0.3,-0.3303964757709251,-0.3303964757709251,189000
2004-10-08T00:00:00,90.5,93.5,93.45,2.95,3.259668508287293,3.259668508287293,1598200
2004-10-11T00:00:00,93.45,97.95,97,3.55,3.7988228999464955,3.7988228999464955,10280700
2004-10-12T00:00:00,97,99.15,99,2,2.0618556701030926,2.0618556701030926,5628400
2004-10-13T00:00:00,99,99.75,98.75,-0.25,-0.25252525252525254,-0.25252525252525254,5159700
2004-10-14T00:00:00,98.75,99.35,98,-0.75,-0.7594936708860759,-0.7594936708860759,1320800
2004-10-15T00:00:00,98,98.25,97,-1,-1.0204081632653061,-1.0204081632653061,762600
2004-10-18T00:00:00,97,98.75,96.5,-0.5,-0.5154639175257731,-0.5154639175257731,1635500
2004-10-19T00:00:00,96.5,99.7,99.2,2.7,2.7979274611398965,2.7979274611398965,6137500
2004-10-20T00:00:00,99.2,100.9,99.6,0.4,0.403225806451613,0.403225806451613,15451400
2004-10-21T00:00:00,99.6,101.75,100.05,0.45,0.4518072289156627,0.4518072289156627,9354400
2004-10-22T00:00:00,100.05,100.85,100.1,0.05,0.049975012493753135,0.049975012493753135,1097600
2004-10-25T00:00:00,100.1,100.65,99,-1.1,-1.098901098901099,-1.098901098901099,3451100
2004-10-26T00:00:00,99,99.4,96.65,-2.35,-2.3737373737373737,-2.3737373737373737,1585100
2004-10-27T00:00:00,96.65,98.5,98.45,1.8,1.8623900672529745,1.8623900672529745,3381000
2004-10-28T00:00:00,98.45,100.5,99.1,0.65,0.660233621127476,0.660233621127476,5661100
2004-10-29T00:00:00,99.1,99.7,98.5,-0.6,-0.6054490413723512,-0.6054490413723512,1012200
2004-11-01T00:00:00,98.5,98.8,97.55,-0.95,-0.964467005076142,-0.964467005076142,720300
2004-11-02T00:00:00,97.55,100.9,100.45,2.9,2.972834443874936,2.972834443874936,4143700
2004-11-03T00:00:00,100.45,102.75,101.35,0.9,0.895968143354903,0.895968143354903,7552500
2004-11-04T00:00:00,101.35,103.15,102.75,1.4,1.3813517513566849,1.3813517513566849,3925400
2004-11-05T00:00:00,102.75,102.75,102.4,-0.35,-0.340632603406326,-0.340632603406326,394100
2004-11-08T00:00:00,102.4,103,102.35,-0.05,-0.048828125000000014,-0.048828125000000014,1572100
2004-11-10T00:00:00,102.35,103.85,103.5,1.15,1.1235955056179776,1.1235955056179776,3184800
2004-11-12T00:00:00,103.5,109.35,108,4.5,4.3478260869565215,4.3478260869565215,8788400
2004-11-18T00:00:00,108,108.75,107.6,-0.4,-0.3703703703703704,-0.3703703703703704,3917300
2004-11-19T00:00:00,107.6,108.2,106.6,-1,-0.929368029739777,-0.929368029739777,1586200
2004-11-22T00:00:00,106.6,107.9,107.05,0.45,0.42213883677298314,0.42213883677298314,3786000
2004-11-23T00:00:00,107.05,108.4,107.75,0.7,0.6539000467071462,0.6539000467071462,5164900
2004-11-24T00:00:00,107.75,110.1,108.25,0.5,0.46403712296983757,0.46403712296983757,10267800
2004-11-25T00:00:00,108.25,111.55,111.5,3.25,3.0023094688221708,3.0023094688221708,13154400
2004-11-26T00:00:00,111.5,113.25,111.05,-0.45,-0.40358744394618834,-0.40358744394618834,7170300
2004-11-29T00:00:00,111.05,111.9,111.4,0.35,0.3151733453399369,0.3151733453399369,3719900
2004-11-30T00:00:00,111.4,112.15,111,-0.4,-0.3590664272890485,-0.3590664272890485,571500
2004-12-01T00:00:00,111,111.6,111.4,0.4,0.36036036036036034,0.36036036036036034,185700
2004-12-02T00:00:00,111.4,111.15,110.75,-0.65,-0.5834829443447037,-0.5834829443447037,63300
2004-12-03T00:00:00,110.75,111.65,111.45,0.7,0.6320541760722347,0.6320541760722347,119800
2004-12-06T00:00:00,111.45,112.35,111.4,-0.05,-0.04486316733961418,-0.04486316733961418,1313100
2004-12-07T00:00:00,109.4,115.7,114.4,3,2.6929982046678633,2.6929982046678633,14685600
2004-12-08T00:00:00,114.4,116.4,114.25,-0.15,-0.1311188811188811,-0.1311188811188811,9822200
2004-12-09T00:00:00,114.25,117.65,116.15,1.9,1.663019693654267,1.663019693654267,9297900
2004-12-10T00:00:00,116.15,116.8,115.1,-1.05,-0.9040034438226433,-0.9040034438226433,10068000
2004-12-13T00:00:00,115.1,117,113.2,-1.9,-1.6507384882710685,-1.6507384882710685,8790900
2004-12-14T00:00:00,113.2,113.55,112.9,-0.3,-0.26501766784452296,-0.26501766784452296,6071300
2004-12-15T00:00:00,112.9,114.5,114.1,1.2,1.062887511071745,1.062887511071745,6684100
2004-12-16T00:00:00,114.1,118.35,117.55,3.45,3.0236634531113062,3.0236634531113062,18278700
2004-12-17T00:00:00,117.55,120.5,119.8,2.25,1.9140791152700978,1.9140791152700978,11561000
2004-12-20T00:00:00,119.8,120.25,119.2,-0.6,-0.5008347245409015,-0.5008347245409015,4299200
2004-12-21T00:00:00,119.2,120.3,119.5,0.3,0.25167785234899326,0.25167785234899326,5059300
2004-12-22T00:00:00,119.5,120.65,119.5,0,0,0,5751900
2004-12-23T00:00:00,119.5,124.35,120.5,1,0.8368200836820083,0.8368200836820083,14068400
2004-12-24T00:00:00,120.5,123,121.25,0.75,0.6224066390041494,0.6224066390041494,8148800
2004-12-27T00:00:00,121.25,123,121.5,0.25,0.2061855670103093,0.2061855670103093,8163600
2004-12-28T00:00:00,121.5,125.4,123.7,2.2,1.8106995884773665,1.8106995884773665,17096000
2004-12-29T00:00:00,123.7,132.95,132.95,9.25,7.47776879547292,7.47776879547292,25534300
2004-12-30T00:00:00,132.95,134.9,128.3,-4.65,-3.497555471981948,-3.497555471981948,12671800
2004-12-31T00:00:00,128.3,131.7,129.3,1,0.7794232268121589,0.7794232268121589,7903900
2005-01-03T00:00:00,129.3,130.9,128,-1.3,-1.005413766434648,-1.005413766434648,1373300
2005-01-04T00:00:00,128,131.4,130.65,2.65,2.0703125,2.0703125,4370700
2005-01-05T00:00:00,130.65,131.9,129.4,-1.25,-0.9567546880979716,-0.9567546880979716,1903500
2005-01-06T00:00:00,129.4,130.5,129,-0.4,-0.3091190108191654,-0.3091190108191654,1470400
2005-01-07T00:00:00,129,130.35,126.8,-2.2,-1.7054263565891472,-1.7054263565891472,1358900
2005-01-10T00:00:00,126.8,129.25,127.5,0.7,0.5520504731861198,0.5520504731861198,1942700
2005-01-11T00:00:00,127.5,129.5,128.05,0.55,0.4313725490196078,0.4313725490196078,1572900
2005-01-12T00:00:00,128.05,133.15,128.9,0.85,0.6638032018742678,0.6638032018742678,2943200
2005-01-13T00:00:00,128.9,130,124,-4.9,-3.801396431342126,-3.801396431342126,486200
2005-01-14T00:00:00,124,126.1,124.5,0.5,0.4032258064516129,0.4032258064516129,835000
2005-01-17T00:00:00,124.5,129.5,126.6,2.1,1.6867469879518073,1.6867469879518073,1716200
2005-01-18T00:00:00,126.6,130,127,0.4,0.3159557661927331,0.3159557661927331,871300
2005-01-19T00:00:00,127,128.8,128.1,1.1,0.8661417322834646,0.8661417322834646,1013100
2005-01-24T00:00:00,128.1,130.3,128.45,0.35,0.273224043715847,0.273224043715847,1086500
2005-01-25T00:00:00,128.45,130,127.9,-0.55,-0.42818217205138187,-0.42818217205138187,211400
2005-01-26T00:00:00,127.9,128.25,126.5,-1.4,-1.0946051602814697,-1.0946051602814697,424300
2005-01-27T00:00:00,126.5,127,123.75,-2.75,-2.1739130434782608,-2.1739130434782608,537500
2005-01-28T00:00:00,123.75,123.5,118.4,-5.35,-4.323232323232323,-4.323232323232323,2181800
2005-01-31T00:00:00,118.4,124,121.95,3.55,2.9983108108108105,2.9983108108108105,1801200
2005-02-01T00:00:00,121.95,125,122.95,1,0.8200082000820008,0.8200082000820008,1375500
2005-02-02T00:00:00,122.95,125.4,123,0.05,0.040666937779585195,0.040666937779585195,552600
2005-02-03T00:00:00,123,130,129.25,6.25,5.08130081300813,5.08130081300813,5404300
2005-02-04T00:00:00,129.25,130,129,-0.25,-0.19342359767891684,-0.19342359767891684,1067800
2005-02-07T00:00:00,129,129.8,129.5,0.5,0.3875968992248062,0.3875968992248062,1469600
2005-02-08T00:00:00,129.5,130.4,127.8,-1.7,-1.3127413127413128,-1.3127413127413128,1108800
2005-02-09T00:00:00,127.8,128.4,126.75,-1.05,-0.8215962441314555,-0.8215962441314555,844900
